Titolo,Tipologia,Data Inizio,Data Fine,Orario,Luogo,Prezzo,Link,Fonte
8^ edizione Viviamo il Bosco a Lariano,Attività varie,14-09-2025,Verifica sul sito,Tutto il giorno,Lariano (RM),Consulta sito,https://www.visitlazio.com/eventi-lazio/8-edizione-viviamo-il-bosco-a-lariano/,VisitLazio
"Estate a Roccantica, ricco programma di eventi",Attività varie,14-09-2025,Verifica sul sito,08:00 – 18:00,Consulta sito,Consulta sito,https://www.visitlazio.com/eventi-lazio/estate-a-roccantica-ricco-programma-di-eventi/,VisitLazio
Vendemmiata romana all’Orto botanico,Attività varie,14-09-2025,Verifica sul sito,09:00 – 19:00,Consulta sito,Consulta sito,https://www.visitlazio.com/eventi-lazio/vendemmiata-romana-allorto-botanico/,VisitLazio
Ad Alatri gli Itinerari del Museumgrandtour,Attività varie,14-09-2025,Verifica sul sito,10:00 – 18:00,Alatri (FR),Consulta sito,https://www.visitlazio.com/eventi-lazio/ad-alatri-ripartono-gli-itinerari-del-museumgrandtour/,VisitLazio
Festa della Madonna della Quercia a Viterbo,Attività varie,14-09-2025,Verifica sul sito,16:30 – 00:00,Viterbo (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/festa-della-madonna-della-quercia-a-viterbo/,VisitLazio
Il Palio della Tonna dei Somari a Civita di Bagnoregio,Attività varie,14-09-2025,Verifica sul sito,17:00 – 00:00,Civita di Bagnoregio – Bagnoregio (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/il-palio-della-tonna-dei-somari-a-civita-di-bagnoregio/,VisitLazio
"Fiumicino Jazz Festival 2025, 4^ edizione",Attività varie,14-09-2025,Verifica sul sito,19:00 – 23:55,Fiumicino (RM),Consulta sito,https://www.visitlazio.com/eventi-lazio/fiumicino-jazz-festival-2025-4-edizione/,VisitLazio
A Sutri concerto Tra Cielo e Terra,Attività varie,16-09-2025,Verifica sul sito,19:00,Consulta sito,Consulta sito,https://www.visitlazio.com/eventi-lazio/a-sutri-concerto-tra-cielo-e-terra/,VisitLazio
A Sutri Paolo Belli in concerto,Attività varie,16-09-2025,Verifica sul sito,21:00 – 23:00,Sutri (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/a-sutri-paolo-belli-in-concerto/,VisitLazio
Teverina Buskers a Celleno,Attività varie,18-09-2025,21-09-2025,15:00,Celleno (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/teverina-buskers-a-celleno/,VisitLazio
Ad Atina il Concorso Ippico Nazionale,Attività varie,19-09-2025,21-09-2025,Consulta sito,Atina (FR),Consulta sito,https://www.visitlazio.com/eventi-lazio/ad-atina-il-concorso-ippico-nazionale/,VisitLazio
"A Poli, rievocazione della vita di S.Eustachio",Attività varie,19-09-2025,21-09-2025,18:00,Poli,Consulta sito,https://www.visitlazio.com/eventi-lazio/a-poli-rievocazione-della-vita-di-s-eustachio/,VisitLazio
Canepina presenta la Sagra dei Ceciliani,Attività varie,20-09-2025,21-09-2025,12:30 – 19:30,Canepina (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/canepina-presenta-la-sagra-dei-ceciliani/,VisitLazio
"A Viterbo, Giocavamo pè Strada",Attività varie,20-09-2025,Verifica sul sito,18:00 – 00:00,Viterbo (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/a-viterbo-giocavamo-pe-strada/,VisitLazio
In Cammino nelle Aree Protette del Lazio,Attività varie,21-09-2025,Verifica sul sito,08:00 – 18:00,Consulta sito,Consulta sito,https://www.visitlazio.com/eventi-lazio/in-cammino-nelle-aree-protette-del-lazio/,VisitLazio
Sacre Note a Collepardo 2025,Attività varie,25-09-2025,Verifica sul sito,18:00,Collepardo (FR),Consulta sito,https://www.visitlazio.com/eventi-lazio/sacre-note-a-collepardo-2025/,VisitLazio
Festival Vitruviano a Formia. Eventi e visite,Attività varie,27-09-2025,Verifica sul sito,10:00,Formia (LT),Consulta sito,https://www.visitlazio.com/eventi-lazio/festival-vitruviano-a-formia-eventi-e-visite/,VisitLazio
"Ciclopicomania a Segni, serate artistiche",Attività varie,27-09-2025,Verifica sul sito,19:00 – 23:55,Segni (RM),Consulta sito,https://www.visitlazio.com/eventi-lazio/ciclopicomania-a-segni-serate-artistiche/,VisitLazio
Half Marathon a Viterbo,Attività varie,28-09-2025,Verifica sul sito,Tutto il giorno,Viterbo (VT),Consulta sito,https://www.visitlazio.com/eventi-lazio/half-marathon-a-viterbo/,VisitLazio
Tacchie ai Funghi Porcini in Sagra a Bellegra,Attività varie,03-10-2025,05-10-2025,Consulta sito,Bellegra (RM),Consulta sito,https://www.visitlazio.com/eventi-lazio/tacchie-ai-funghi-porcini-in-sagra-a-bellegra-2/,VisitLazio
"Festa dell'Uva, del Vino e del Medioevo",Attività varie,13-09-2025,13-09-2025,Consulta sito,Piazza Carlo Fontana,Consulta sito,https://www.eventbrite.com/e/festa-delluva-del-vino-e-del-medioevo-tickets-1622504517689?aff=ebdssbdestsearch,Eventbrite
Note di Vino e Tradizioni - Ariccia,Attività varie,21-09-2025,21-09-2025,Consulta sito,Palazzo Chigi Ariccia,Consulta sito,https://www.eventbrite.com/e/biglietti-note-di-vino-e-tradizioni-ariccia-1616003352529?aff=ebdssbdestsearch,Eventbrite
"Calici Curiosi: scopri, gusta, impara. Workshop degustazione 4 vini scelti",Attività varie,Consulta sito,Verifica sul sito,Consulta sito,"Via in Selci, 84g",Consulta sito,https://www.eventbrite.it/e/registrazione-calici-curiosi-scopri-gusta-impara-workshop-degustazione-4-vini-scelti-1041040248407?aff=ebdssbdestsearch,Eventbrite
Pignetismi Book Club sotto le stelle con Americanah,Attività varie,24-09-2025,24-09-2025,Consulta sito,"Via Fanfulla da Lodi, 22",Consulta sito,https://www.eventbrite.it/e/pignetismi-book-club-sotto-le-stelle-con-americanah-tickets-1670391890109?aff=ebdssbdestsearch,Eventbrite
D'OPERA a Roma: vini della Valpolicella & Parmigiano Reggiano,Attività varie,20-10-2025,20-10-2025,Consulta sito,Consulta sito,Consulta sito,https://www.eventbrite.it/e/dopera-a-roma-vini-della-valpolicella-parmigiano-reggiano-tickets-1637827117999?aff=ebdssbdestsearch,Eventbrite
Grand Tasting: Le Grandi Bollicine,Attività varie,09-10-2025,09-10-2025,Consulta sito,Signorvino Roma,Consulta sito,https://www.eventbrite.it/e/biglietti-grand-tasting-le-grandi-bollicine-1680007059339?aff=ebdssbdestsearch,Eventbrite
MAGNA ROMA 2025 Il Festival della Cucina Romana @ Città dell'Altra Economia,Attività varie,25-09-2025,25-09-2025,Consulta sito,Città dell'Altra Economia,Consulta sito,https://www.eventbrite.it/e/magna-roma-2025-il-festival-della-cucina-romana-citta-dellaltra-economia-tickets-1639873237999?aff=ebdssbdestsearch,Eventbrite
AperiFlexx Club Roma: Il networking flessibile,Attività varie,16-09-2025,16-09-2025,Consulta sito,Mike's Restaurant,Consulta sito,https://www.eventbrite.it/e/biglietti-aperiflexx-club-roma-il-networking-flessibile-1425392931629?aff=ebdssbdestsearch,Eventbrite
Business Networking Roma: Nuove relazioni professionali con Flexx Club,Attività varie,16-09-2025,16-09-2025,Consulta sito,Mike's Restaurant,Consulta sito,https://www.eventbrite.it/e/biglietti-business-networking-roma-nuove-relazioni-professionali-con-flexx-club-1548513408289?aff=ebdssbdestsearch,Eventbrite
Catone DiVino 6° edizione,Attività varie,Consulta sito,Verifica sul sito,Consulta sito,Monte Porzio Catone,Consulta sito,https://www.eventbrite.it/e/catone-divino-6-edizione-tickets-1663031755749?aff=ebdssbdestsearch,Eventbrite
ROMA CRAFT FESTIVAL,Attività varie,03-10-2025,03-10-2025,Consulta sito,Forte Trionfale,Consulta sito,https://www.eventbrite.com/e/roma-craft-festival-tickets-1670677795259?aff=ebdssbdestsearch,Eventbrite
Aperitivo in Vigna & Networking ai Castelli Romani by Flexx Club,Attività varie,26-09-2025,26-09-2025,Consulta sito,Azienda Agricola Castel de Paolis,Consulta sito,https://www.eventbrite.it/e/biglietti-aperitivo-in-vigna-networking-ai-castelli-romani-by-flexx-club-1560156011629?aff=ebdssbdestsearch,Eventbrite
Flexx Club pres. TASTE EXPERIENCE Aperitivo in Vigna a Grottaferrata (RM),Attività varie,26-09-2025,26-09-2025,Consulta sito,Azienda Agricola Castel de Paolis,Consulta sito,https://www.eventbrite.it/e/biglietti-flexx-club-pres-taste-experience-aperitivo-in-vigna-a-grottaferrata-rm-1560137967659?aff=ebdssbdestsearch,Eventbrite
CARBONARA FESTIVAL @ Magna Roma - Città dell'Altra Economia,Attività varie,25-09-2025,25-09-2025,Consulta sito,Città dell'Altra Economia,Consulta sito,https://www.eventbrite.it/e/carbonara-festival-magna-roma-citta-dellaltra-economia-tickets-1656332157069?aff=ebdssbdestsearch,Eventbrite
Ecce Homo ad Anguillara: i Gessi Jacometti,Attività varie,21-09-2025,21-09-2025,Consulta sito,Anguillara Sabazia,Consulta sito,https://www.eventbrite.it/e/ecce-homo-ad-anguillara-i-gessi-jacometti-tickets-1633061273229?aff=ebdssbdestsearch,Eventbrite
Flexx Club pres. NETWORKING NIGHT ROMA: Accendiamo le relazioni,Attività varie,01-10-2025,01-10-2025,Consulta sito,Industrie Fluviali - Ecosistema Cultura,Consulta sito,https://www.eventbrite.it/e/biglietti-flexx-club-pres-networking-night-roma-accendiamo-le-relazioni-1425338699419?aff=ebdssbdestsearch,Eventbrite
Roma - Recorrido gastronómico por Trastevere,Attività varie,Consulta sito,Verifica sul sito,Consulta sito,Piazza Trilussa,Consulta sito,https://www.eventbrite.com/e/roma-recorrido-gastronomico-por-trastevere-tickets-1376310504769?aff=ebdssbdestsearch,Eventbrite
La Battaglia  di Vienna,Attività varie,13-09-2025,13-09-2025,Consulta sito,"Via Sora, 33",Consulta sito,https://www.eventbrite.it/e/biglietti-la-battaglia-di-vienna-1671865918969?aff=ebdssbdestsearch,Eventbrite
Titolo non trovato,Attività varie,Consulta sito,Verifica sul sito,Consulta sito,Consulta sito,Consulta sito,https://www.eventbrite.it/e/barocco-music-experience-tickets-1640783891789?aff=ebdssbdestsearch,Eventbrite
C’è musica nell’aria,Attività varie,27-09-2025,27-09-2025,Consulta sito,Teatro Kopó,Consulta sito,https://www.eventbrite.it/e/ce-musica-nellaria-tickets-1643486445199?aff=ebdssbdestsearch,Eventbrite
Agricola D'ausilio - Alla scoperta della Costa D'ulisse,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€60,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/agricola-dausilio-alla-scoperta-della-costa-dulisse,WineriesExperience
Al Piglio Maison De Charme - Degustazione 4 Calici,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€30,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-degustazione-4-calici,WineriesExperience
Al Piglio Maison De Charme - Degustazione 5 Calici,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-degustazione-5-calici,WineriesExperience
Al Piglio Maison De Charme - Pranzo con Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€90,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-pranzo-con-degustazione,WineriesExperience
Al Piglio Maison De Charme - Pranzo Degustazione & Percorso Wellness,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€190,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-pranzo-degustazione-percorso-wellness,WineriesExperience
Al Piglio Maison De Charme - Soggiorno & Pranzo con degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€390,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-soggiorno-pranzo-con-degustazione,WineriesExperience
Al Piglio Maison De Charme - Weekend Relax,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€490,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-weekend-relax,WineriesExperience
Amor vitae - Made in Lazio,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€35,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/amor-vitae-made-in-lazio,WineriesExperience
Amor vitae - Menù Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€55,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/amor-vitae-menu-degustazione,WineriesExperience
Cantina Costantini -  Exclusive tasting,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€150,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-exclusive-tasting,WineriesExperience
Cantina Costantini - Degustazione Classica,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€27,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-degustazione-classic,WineriesExperience
Cantina Costantini - Degustazione Prestige,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€75,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-degustazione-prestige,WineriesExperience
Cantina Costantini - Esperienza Superior,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€37,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-superior,WineriesExperience
Cantina Le Macchie - Le Origini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-le-origini,WineriesExperience
Cantina Le Macchie - Notte DiVina,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€240,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-notte-divina,WineriesExperience
Cantina Le Macchie - Soggiorno in Botte & Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€280,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-soggiorno-in-botte-degustazione,WineriesExperience
Cantina Le Macchie - Sogno in Botte,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€199,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-sogno-in-botte,WineriesExperience
Cantina Le Macchie - Sorsi e Relax,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€320,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-sorsi-e-relax,WineriesExperience
Cantina Le Macchie - Wine & Food Experience,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€65,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-wine-food-experience,WineriesExperience
Cantina Le Macchie - Wine Lovers,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€35,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-wine-lovers,WineriesExperience
Cantina Leonardi - Dalla Bolla al Dolce,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-leonardi-dalla-bolla-al-dolce,WineriesExperience
"Cantina Leonardi - Degustazione 3 Vini ""Alla scoperta del territorio""",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€34,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-leonardi-alla-scoperta-del-territorio,WineriesExperience
Cantina Leonardi - E-Bike TOUR,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€100,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-leonardi-e-bike-tour,WineriesExperience
Cantina Leonardi - I Vini di famiglia,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-leonardi-i-vini-di-famiglia,WineriesExperience
Cantine Capitani - Pic Nic,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€45,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantine-capitani-pic-nic,WineriesExperience
Cantine Capitani - Tour e degustazione 4 vini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantine-capitani-tour-e-degustazione,WineriesExperience
Casale del Giglio - Degustazione vino Classica,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€48,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-del-giglio-degustazione-vino-classica,WineriesExperience
Casale Mattia - Aperitivo al tramonto,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-mattia-aperitivo-al-tramonto,WineriesExperience
Casale Mattia - Degustazione 2 vini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€28,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-mattia-degustazione-2-vini,WineriesExperience
Casale Mattia - Degustazione 3 vini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€37,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-mattia-degustazione-3-vini,WineriesExperience
Casale Mattia - Degustazione con light lunch,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€43,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-mattia-degustazione-con-light-lunch,WineriesExperience
Casale Mattia - Pic nic nel vigneto,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€35,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/casale-mattia-pic-nic-nel-vigneto,WineriesExperience
Castel de Paolis - Degustazione Campovecchio,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/castel-de-paolis-degustazione-campovecchio,WineriesExperience
Castel de Paolis - Degustazione Mix,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€30,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/castel-de-paolis-degustazione-mix,WineriesExperience
Castel de Paolis - Degustazione Premium,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€35,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/castel-de-paolis-degustazione-premium,WineriesExperience
De Sanctis - Degustazione 3 Vini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€30,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/de-sanctis-degustazione-3-vini,WineriesExperience
